39685 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39686 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39687 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39688 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39689 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39690 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39691 2020-05-18 20:18:50 [4D.APPL] INFO - DELAY PROCESS()
39692 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39693 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39694 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39695 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39696 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39697 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39698 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39699 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39700 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39701 2020-05-18 20:18:51 [4D.APPL] INFO - DELAY PROCESS()
39702 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39703 2020-05-18 20:18:52 [4D.APPL] INFO - link_manager.scan()
39704 2020-05-18 20:18:52 [4D.APPL] INFO - link_manager.scan()
39705 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39706 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39707 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39708 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39709 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39710 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39711 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39712 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39713 2020-05-18 20:18:52 [4D.APPL] INFO - DELAY PROCESS()
39714 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39715 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39716 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39717 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39718 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39719 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39720 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39721 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39722 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39723 2020-05-18 20:18:53 [4D.APPL] INFO - DELAY PROCESS()
39724 2020-05-18 20:18:54 [4D.APPL] INFO - DELAY PROCESS()
39725 2020-05-18 20:18:54 [4D.APPL] INFO - DELAY PROCESS()
39726 2020-05-18 20:18:54 [4D.APPL] INFO - DELAY PROCESS()
39727 2020-05-18 20:18:54 [4D.APPL] INFO - DELAY PROCESS()
39728 2020-05-18 20:18:54 [4D.APPL] INFO - DELAY PROCESS()
39729 2020-05-18 20:18:54 [4D.APPL] INFO - DELAY PROCESS()
39730 2020-05-18 20:18:54 [4D.APPL] INFO - DELAY PROCESS()
39731 2020-05-18 20:18:54 [4D.APPL] INFO - DELAY PROCESS()
39732 2020-05-18 20:18:54 [4D.APPL] INFO - DELAY PROCESS()
39733 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39734 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39735 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39736 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39737 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39738 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39739 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39740 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39741 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39742 2020-05-18 20:18:55 [4D.APPL] INFO - DELAY PROCESS()
39743 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39744 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39745 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39746 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39747 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39748 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39749 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39750 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39751 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39752 2020-05-18 20:18:56 [4D.APPL] INFO - DELAY PROCESS()
39753 2020-05-18 20:18:57 [4D.APPL] INFO - DELAY PROCESS()
39754 2020-05-18 20:18:57 [4D.APPL] INFO - DELAY PROCESS()
39755 2020-05-18 20:18:57 [4D.APPL] INFO - DELAY PROCESS()
39756 2020-05-18 20:18:57 [4D.APPL] INFO - DELAY PROCESS()
39757 2020-05-18 20:18:57 [4D.APPL] INFO - DELAY PROCESS()
39758 2020-05-18 20:18:57 [4D.APPL] INFO - DELAY PROCESS()
39759 2020-05-18 20:18:57 [4D.APPL] INFO - DELAY PROCESS()
39760 2020-05-18 20:18:57 [4D.APPL] INFO - DELAY PROCESS()
39761 2020-05-18 20:18:57 [4D.APPL] INFO - DELAY PROCESS()
39762 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39763 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39764 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39765 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39766 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39767 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39768 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39769 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39770 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39771 2020-05-18 20:18:58 [4D.APPL] INFO - DELAY PROCESS()
39772 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39773 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39774 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39775 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39776 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39777 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39778 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39779 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39780 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39781 2020-05-18 20:18:59 [4D.APPL] INFO - DELAY PROCESS()
39782 2020-05-18 20:19:00 [4D.APPL] INFO - DELAY PROCESS()
39783 2020-05-18 20:19:00 [4D.APPL] INFO - DELAY PROCESS()
39784 2020-05-18 20:19:00 [4D.APPL] INFO - DELAY PROCESS()
39785 2020-05-18 20:19:00 [4D.APPL] INFO - DELAY PROCESS()
39786 2020-05-18 20:19:00 [4D.APPL] INFO - DELAY PROCESS()
39787 2020-05-18 20:19:00 [4D.APPL] INFO - DELAY PROCESS()
39788 2020-05-18 20:19:00 [4D.APPL] INFO - DELAY PROCESS()
39789 2020-05-18 20:19:00 [4D.APPL] INFO - DELAY PROCESS()
39790 2020-05-18 20:19:00 [4D.APPL] INFO - DELAY PROCESS()
39791 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39792 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39793 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39794 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39795 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39796 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39797 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39798 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39799 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39800 2020-05-18 20:19:01 [4D.APPL] INFO - DELAY PROCESS()
39801 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39802 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39803 2020-05-18 20:19:02 [4D.APPL] INFO - link_manager.scan()
39804 2020-05-18 20:19:02 [4D.APPL] INFO - link_manager.scan()
39805 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39806 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39807 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39808 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39809 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39810 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39811 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39812 2020-05-18 20:19:02 [4D.APPL] INFO - DELAY PROCESS()
39813 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
39814 2020-05-18 20:19:03 [4D.APPL] INFO - DELAY PROCESS()
